getpwuid_r did not find a match for uid 501
Filtering the log data using "processImagePath CONTAINS "ClaudeCodeUI""
Timestamp                       Thread     Type        Activity             PID    TTL  
2025-08-21 00:35:42.801502-0400 0x105e0c   Default     0x0                  82435  0    ClaudeCodeUI: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d041e0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-08-21 00:35:42.801996-0400 0x105e0d   Default     0x0                  82435  0    ClaudeCodeUI: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2025-08-21 00:35:42.802036-0400 0x105e0d   Default     0x0                  82435  0    ClaudeCodeUI: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2025-08-21 00:35:42.802061-0400 0x105e0e   Default     0x0                  82435  0    ClaudeCodeUI: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2025-08-21 00:35:42.802084-0400 0x105e0e   Default     0x0                  82435  0    ClaudeCodeUI: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2025-08-21 00:35:42.802099-0400 0x105e0e   Default     0x0                  82435  0    ClaudeCodeUI: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d042d0] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2025-08-21 00:35:42.802191-0400 0x105e0d   Default     0x0                  82435  0    ClaudeCodeUI: (libxpc.dylib) [com.apple.xpc:connection] [0x105104f80] activating connection: mach=false listener=false peer=false name=(anonymous)
2025-08-21 00:35:42.802716-0400 0x105e0e   Default     0x0                  82435  0    ClaudeCodeUI: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2025-08-21 00:35:42.804993-0400 0x105e0e   Default     0x0                  82435  0    ClaudeCodeUI: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<com.claudecode.ui((null))>
2025-08-21 00:35:42.805629-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (libMobileGestalt.dylib) No persisted cache on this platform.
2025-08-21 00:35:42.805694-0400 0x105e0c   Activity    0x375c90             82435  0    ClaudeCodeUI: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2025-08-21 00:35:42.805809-0400 0x105e13   Activity    0x375c91             82435  0    ClaudeCodeUI: (RunningBoardServices) didChangeInheritances
